date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-08-11T17:30:00Z,1,almería,rayo vallecano,0,2,0,2,2,rayo vallecano,almería,javier alberola rojas
2023-08-11T20:00:00Z,1,sevilla fc,valencia,1,2,0,0,1,valencia,sevilla fc,josé sánchez martínez
2023-08-12T15:00:00Z,1,real sociedad,girona,1,1,1,0,0,draw,draw,francisco hernández maeso
2023-08-12T17:30:00Z,1,las palmas,mallorca,1,1,1,0,0,draw,draw,víctor garcía verdura
2023-08-12T19:30:00Z,1,athletic,real madrid,0,2,0,2,2,real madrid,athletic,jesús gil manzano
2023-08-13T15:00:00Z,1,celta,osasuna,0,2,0,1,2,osasuna,celta,pablo gonzález fuertes
2023-08-13T17:30:00Z,1,villarreal,real betis,1,2,0,1,1,real betis,villarreal,miguel ortiz arias
2023-08-13T19:30:00Z,1,getafe,barça,0,0,0,0,0,draw,draw,césar soto grado
2023-08-14T17:30:00Z,1,cádiz cf,alavés,1,0,1,0,1,cádiz cf,alavés,isidro díaz de mera
2023-08-14T19:30:00Z,1,atleti,granada,3,1,1,0,2,atleti,granada,juan pulido santana
2023-08-18T17:30:00Z,2,mallorca,villarreal,0,1,0,0,1,villarreal,mallorca,javier alberola rojas
2023-08-18T19:30:00Z,2,valencia,las palmas,1,0,0,0,1,valencia,las palmas,javier iglesias villanueva
2023-08-19T15:00:00Z,2,real sociedad,celta,1,1,1,0,0,draw,draw,miguel ortiz arias
2023-08-19T17:30:00Z,2,almería,real madrid,1,3,1,1,2,real madrid,almería,josé sánchez martínez
2023-08-19T19:30:00Z,2,osasuna,athletic,0,2,0,2,2,athletic,osasuna,josé munuera montero
2023-08-20T17:00:00Z,2,girona,getafe,3,0,1,0,3,girona,getafe,jorge figueroa vázquez
2023-08-20T17:30:00Z,2,barça,cádiz cf,2,0,0,0,2,barça,cádiz cf,alejandro muñiz ruiz
2023-08-20T19:30:00Z,2,real betis,atleti,0,0,0,0,0,draw,draw,ricardo de burgos
2023-08-21T17:00:00Z,2,alavés,sevilla fc,4,3,2,2,1,alavés,sevilla fc,guillermo cuadra fernández
2023-08-21T19:30:00Z,2,granada,rayo vallecano,0,2,0,0,2,rayo vallecano,granada,pablo gonzález fuertes
2023-08-25T17:30:00Z,3,las palmas,real sociedad,0,0,0,0,0,draw,draw,guillermo cuadra fernández
2023-08-25T19:30:00Z,3,celta,real madrid,0,1,0,0,1,real madrid,celta,isidro díaz de mera
2023-08-26T17:00:00Z,3,cádiz cf,almería,1,1,0,0,0,draw,draw,víctor garcía verdura
2023-08-26T17:30:00Z,3,granada,mallorca,3,2,1,1,1,granada,mallorca,francisco hernández maeso
2023-08-26T19:30:00Z,3,sevilla fc,girona,1,2,1,1,1,girona,sevilla fc,jesús gil manzano
2023-08-27T15:30:00Z,3,villarreal,barça,3,4,2,2,1,barça,villarreal,alejandro hernández hernández
2023-08-27T17:30:00Z,3,valencia,osasuna,1,2,0,1,1,osasuna,valencia,juan pulido santana
2023-08-27T19:30:00Z,3,athletic,real betis,4,2,3,2,2,athletic,real betis,césar soto grado
2023-08-28T17:30:00Z,3,getafe,alavés,1,0,0,0,1,getafe,alavés,juan martínez munuera
2023-08-28T19:30:00Z,3,rayo vallecano,atleti,0,7,0,3,7,atleti,rayo vallecano,josé munuera montero
2023-09-01T17:30:00Z,4,cádiz cf,villarreal,3,1,2,1,2,cádiz cf,villarreal,juan pulido santana
2023-09-01T20:00:00Z,4,almería,celta,2,3,0,2,1,celta,almería,ricardo de burgos
