date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-08-11T19:00:00Z,1,nice,lille,1,1,1,0,0,draw,draw,benoît bastien
2023-08-12T15:00:00Z,1,marseille,stade de reims,2,1,1,1,1,marseille,stade de reims,eric wattellier
2023-08-12T19:00:00Z,1,psg,lorient,0,0,0,0,0,draw,draw,bastien dechepy
2023-08-13T11:00:00Z,1,brest,rc lens,3,2,1,2,1,brest,rc lens,jérémie pignard
2023-08-13T13:00:00Z,1,clermont foot,monaco,2,4,1,2,2,monaco,clermont foot,françois letexier
2023-08-13T13:00:00Z,1,nantes,toulouse,1,2,1,0,1,toulouse,nantes,willy delajod
2023-08-13T13:00:00Z,1,montpellier,le havre,2,2,0,1,0,draw,draw,clément turpin
2023-08-13T15:05:00Z,1,stade rennais,fc metz,5,1,1,1,4,stade rennais,fc metz,jeremy stinat
2023-08-13T18:45:00Z,1,strasbourg,olympique lyon,2,1,0,0,1,strasbourg,olympique lyon,jérôme brisard
2023-08-18T19:00:00Z,2,fc metz,marseille,2,2,0,1,0,draw,draw,jérôme brisard
2023-08-19T17:00:00Z,2,olympique lyon,montpellier,1,4,0,2,3,montpellier,olympique lyon,mathieu vernice
2023-08-19T19:00:00Z,2,toulouse,psg,1,1,0,0,0,draw,draw,thomas léonard
2023-08-20T11:00:00Z,2,lille,nantes,2,0,0,0,2,lille,nantes,pierre gaillouste
2023-08-20T13:00:00Z,2,le havre,brest,1,2,0,1,1,brest,le havre,florent batta
2023-08-20T13:00:00Z,2,lorient,nice,1,1,0,0,0,draw,draw,hakim ben el hadj salem
2023-08-20T13:00:00Z,2,stade de reims,clermont foot,2,0,1,0,2,stade de reims,clermont foot,romain lissorgue
2023-08-20T17:00:00Z,2,monaco,strasbourg,3,0,2,0,3,monaco,strasbourg,ruddy buquet
2023-08-20T18:45:00Z,2,rc lens,stade rennais,1,1,1,0,0,draw,draw,benoît millot
