date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-08-19T16:30:00Z,1,empoli,verona,0,1,0,0,1,verona,empoli,luca massimi
2023-08-19T16:30:00Z,1,frosinone,napoli,1,3,1,2,2,napoli,frosinone,matteo marcenaro
2023-08-19T18:45:00Z,1,genoa,fiorentina,1,4,0,3,3,fiorentina,genoa,giovanni ayroldi
2023-08-19T18:45:00Z,1,inter,monza,2,0,1,0,2,inter,monza,andrea colombo
2023-08-20T16:30:00Z,1,roma,salernitana,2,2,1,1,0,draw,draw,ermanno feliciani
2023-08-20T16:30:00Z,1,sassuolo,atalanta,0,2,0,0,2,atalanta,sassuolo,matteo marchetti
2023-08-20T18:45:00Z,1,lecce,lazio,2,1,0,1,1,lecce,lazio,federico dionisi
2023-08-20T18:45:00Z,1,udinese,juventus,0,3,0,3,3,juventus,udinese,antonio rapuano
2023-08-21T16:30:00Z,1,torino,cagliari,0,0,0,0,0,draw,draw,francesco cosso
2023-08-21T18:45:00Z,1,bologna,milan,0,2,0,2,2,milan,bologna,luca pairetto
2023-08-26T16:30:00Z,2,frosinone,atalanta,2,1,2,0,1,frosinone,atalanta,juan luca sacchi
2023-08-26T16:30:00Z,2,monza,empoli,2,0,1,0,2,monza,empoli,gianluca aureliano
2023-08-26T18:45:00Z,2,verona,roma,2,1,2,0,1,verona,roma,daniele doveri
2023-08-26T18:45:00Z,2,milan,torino,4,1,3,1,3,milan,torino,maurizio mariani
2023-08-27T16:30:00Z,2,fiorentina,lecce,2,2,2,0,0,draw,draw,maria caputi
2023-08-27T16:30:00Z,2,juventus,bologna,1,1,0,1,0,draw,draw,marco di bello
2023-08-27T18:45:00Z,2,lazio,genoa,0,1,0,1,1,genoa,lazio,livio marinelli
2023-08-27T18:45:00Z,2,napoli,sassuolo,2,0,1,0,2,napoli,sassuolo,antonio giua
2023-08-28T16:30:00Z,2,salernitana,udinese,1,1,0,0,0,draw,draw,davide massa
2023-08-28T18:45:00Z,2,cagliari,inter,0,2,0,2,2,inter,cagliari,michael fabbri
2023-09-01T16:30:00Z,3,sassuolo,verona,3,1,1,0,2,sassuolo,verona,marco piccinini
2023-09-01T18:45:00Z,3,roma,milan,1,2,0,1,1,milan,roma,antonio rapuano
2023-09-02T16:30:00Z,3,bologna,cagliari,2,1,0,1,1,bologna,cagliari,daniele orsato
2023-09-02T16:30:00Z,3,udinese,frosinone,0,0,0,0,0,draw,draw,marco guida
2023-09-02T18:45:00Z,3,atalanta,monza,3,0,2,0,3,atalanta,monza,matteo marcenaro
2023-09-02T18:45:00Z,3,napoli,lazio,1,2,1,1,1,lazio,napoli,andrea colombo
2023-09-03T16:30:00Z,3,inter,fiorentina,4,0,1,0,4,inter,fiorentina,matteo marchetti
2023-09-03T16:30:00Z,3,torino,genoa,1,0,0,0,1,torino,genoa,daniele chiffi
2023-09-03T18:45:00Z,3,empoli,juventus,0,2,0,1,2,juventus,empoli,giovanni ayroldi
2023-09-03T18:45:00Z,3,lecce,salernitana,2,0,1,0,2,lecce,salernitana,luca massimi
2023-09-16T13:00:00Z,4,juventus,lazio,3,1,2,0,2,juventus,lazio,fabio maresca
2023-09-16T16:00:00Z,4,inter,milan,5,1,2,0,4,inter,milan,simone sozza
2023-09-16T18:45:00Z,4,genoa,napoli,2,2,1,0,0,draw,draw,michael fabbri
2023-09-17T10:30:00Z,4,cagliari,udinese,0,0,0,0,0,draw,draw,daniele doveri
2023-09-17T13:00:00Z,4,frosinone,sassuolo,4,2,1,2,2,frosinone,sassuolo,alessandro prontera
2023-09-17T13:00:00Z,4,monza,lecce,1,1,1,1,0,draw,draw,livio marinelli
2023-09-17T16:00:00Z,4,fiorentina,atalanta,3,2,2,1,1,fiorentina,atalanta,luca pairetto
2023-09-17T18:45:00Z,4,roma,empoli,7,0,3,0,7,roma,empoli,juan luca sacchi
2023-09-18T16:30:00Z,4,salernitana,torino,0,3,0,2,3,torino,salernitana,antonio giua
2023-09-18T18:45:00Z,4,verona,bologna,0,0,0,0,0,draw,draw,federico la penna
2023-09-22T16:30:00Z,5,salernitana,frosinone,1,1,0,1,0,draw,draw,marco piccinini
2023-09-22T18:45:00Z,5,lecce,genoa,1,0,0,0,1,lecce,genoa,antonio rapuano
2023-09-23T13:00:00Z,5,milan,verona,1,0,1,0,1,milan,verona,matteo marchetti
2023-09-23T16:00:00Z,5,sassuolo,juventus,4,2,2,1,2,sassuolo,juventus,andrea colombo
2023-09-23T18:45:00Z,5,lazio,monza,1,1,1,1,0,draw,draw,rosario abisso
2023-09-24T10:30:00Z,5,empoli,inter,0,1,0,0,1,inter,empoli,matteo marcenaro
2023-09-24T13:00:00Z,5,atalanta,cagliari,2,0,1,0,2,atalanta,cagliari,ermanno feliciani
2023-09-24T13:00:00Z,5,udinese,fiorentina,0,2,0,1,2,fiorentina,udinese,daniele chiffi
2023-09-24T16:00:00Z,5,bologna,napoli,0,0,0,0,0,draw,draw,giovanni ayroldi
2023-09-24T18:45:00Z,5,torino,roma,1,1,0,0,0,draw,draw,marco guida
2023-09-26T18:45:00Z,6,juventus,lecce,1,0,0,0,1,juventus,lecce,antonio giua
2023-09-27T16:30:00Z,6,cagliari,milan,1,3,1,2,2,milan,cagliari,federico la penna
2023-09-27T16:30:00Z,6,empoli,salernitana,1,0,1,0,1,empoli,salernitana,antonio rapuano
2023-09-27T16:30:00Z,6,verona,atalanta,0,1,0,1,1,atalanta,verona,federico dionisi
2023-09-27T18:45:00Z,6,inter,sassuolo,1,2,1,0,1,sassuolo,inter,luca massimi
2023-09-27T18:45:00Z,6,lazio,torino,2,0,0,0,2,lazio,torino,michael fabbri
2023-09-27T18:45:00Z,6,napoli,udinese,4,1,2,0,3,napoli,udinese,gianluca manganiello
2023-09-28T16:30:00Z,6,frosinone,fiorentina,1,1,0,1,0,draw,draw,francesco fourneau
2023-09-28T16:30:00Z,6,monza,bologna,0,0,0,0,0,draw,draw,ivano pezzuto
2023-09-28T18:45:00Z,6,genoa,roma,4,1,2,1,3,genoa,roma,daniele orsato
2023-09-30T13:00:00Z,7,lecce,napoli,0,4,0,1,4,napoli,lecce,luca pairetto
2023-09-30T16:00:00Z,7,milan,lazio,2,0,0,0,2,milan,lazio,davide massa
2023-09-30T18:45:00Z,7,salernitana,inter,0,4,0,0,4,inter,salernitana,rosario abisso
2023-10-01T10:30:00Z,7,bologna,empoli,3,0,1,0,3,bologna,empoli,fabio maresca
2023-10-01T13:00:00Z,7,udinese,genoa,2,2,1,2,0,draw,draw,maurizio mariani
2023-10-01T16:00:00Z,7,atalanta,juventus,0,0,0,0,0,draw,draw,daniele chiffi
2023-10-01T18:45:00Z,7,roma,frosinone,2,0,1,0,2,roma,frosinone,matteo marchetti
2023-10-02T16:30:00Z,7,sassuolo,monza,0,1,0,0,1,monza,sassuolo,luca zufferli
2023-10-02T16:30:00Z,7,torino,verona,0,0,0,0,0,draw,draw,ermanno feliciani
